epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,1117.6,0.62677,0.89861,0.42329,0.90115,0.9694,0.95466,0.98171,0.78175,0.95369,0.94001,0.95435,0.69026,0.67043,0.99835,0.41789,0.93088,0.000797096,0.000797096,0.000797096
69,1133.91,0.63782,0.89306,0.42481,0.91113,0.96663,0.95343,0.98518,0.78924,0.9572,0.94465,0.97582,0.69896,0.65947,1.00373,0.40184,0.93037,0.000787665,0.000787665,0.000787665
70,1150,0.63085,0.91868,0.42619,0.91521,0.96374,0.94727,0.98579,0.77863,0.95335,0.91997,0.96145,0.68955,0.65869,0.96645,0.43272,0.9327,0.000778233,0.000778233,0.000778233
71,1166.27,0.59732,0.8527,0.41077,0.89634,0.96589,0.94374,0.98627,0.77723,0.95941,0.93814,0.97369,0.68645,0.67577,0.99917,0.42595,0.93439,0.000768802,0.000768802,0.000768802
72,1182.42,0.61455,0.85314,0.40864,0.90063,0.95116,0.95295,0.98514,0.788,0.94315,0.9451,0.97606,0.68859,0.66981,0.97002,0.40383,0.93562,0.000759371,0.000759371,0.000759371
73,1198.72,0.60784,0.88311,0.41244,0.90308,0.97894,0.93347,0.98609,0.78307,0.95507,0.91211,0.96387,0.69228,0.67395,0.99797,0.40823,0.93444,0.000749939,0.000749939,0.000749939
74,1214.81,0.60459,0.88526,0.41187,0.90161,0.9594,0.94837,0.9831,0.77161,0.94541,0.93476,0.9699,0.68615,0.68062,0.99497,0.41337,0.94589,0.000740508,0.000740508,0.000740508
75,1231.12,0.62981,0.91302,0.42112,0.90645,0.9723,0.94628,0.98449,0.78441,0.96493,0.93948,0.97668,0.68464,0.67025,1.02541,0.42401,0.9381,0.000731076,0.000731076,0.000731076
76,1247.3,0.61095,0.88951,0.40933,0.90143,0.97429,0.94207,0.984,0.78286,0.94717,0.92244,0.95726,0.68306,0.68139,0.99924,0.41756,0.94475,0.000721645,0.000721645,0.000721645
77,1263.61,0.60552,0.86328,0.40601,0.90629,0.96871,0.94684,0.97937,0.78481,0.95537,0.92845,0.96398,0.68377,0.68364,1.0047,0.41055,0.94267,0.000712214,0.000712214,0.000712214
78,1279.79,0.59869,0.84775,0.39724,0.9045,0.97635,0.94869,0.98528,0.80608,0.95934,0.93309,0.96664,0.69978,0.65772,0.98165,0.38615,0.93414,0.000702782,0.000702782,0.000702782
79,1296.22,0.60508,0.89434,0.40197,0.90344,0.97585,0.93518,0.98178,0.79528,0.97236,0.93731,0.97658,0.70013,0.65357,0.98985,0.38996,0.93319,0.000693351,0.000693351,0.000693351
80,1312.65,0.60431,0.87528,0.40296,0.90218,0.96172,0.95674,0.9821,0.79685,0.94729,0.92637,0.9556,0.69166,0.6468,0.97212,0.39465,0.93157,0.000683919,0.000683919,0.000683919
81,1328.99,0.58572,0.86679,0.39906,0.89269,0.98453,0.94836,0.98781,0.79821,0.96997,0.93327,0.96629,0.70092,0.65436,0.97464,0.39165,0.93432,0.000674488,0.000674488,0.000674488
82,1345.27,0.58474,0.83918,0.40025,0.89085,0.981,0.95172,0.98809,0.77413,0.96371,0.93671,0.97199,0.69392,0.65718,0.98607,0.39703,0.93314,0.000665057,0.000665057,0.000665057
83,1361.57,0.59953,0.83965,0.40133,0.9016,0.96828,0.94782,0.98659,0.78544,0.95865,0.93896,0.97124,0.70495,0.65695,1.00296,0.39474,0.93687,0.000655625,0.000655625,0.000655625
84,1377.83,0.59176,0.86453,0.4019,0.9055,0.96888,0.91936,0.98432,0.77807,0.96046,0.91151,0.96619,0.70349,0.66795,1.00636,0.39866,0.93765,0.000646194,0.000646194,0.000646194
85,1394.22,0.58272,0.83343,0.38849,0.89312,0.97388,0.93187,0.98622,0.80395,0.97155,0.92992,0.97623,0.71194,0.63948,0.94917,0.38246,0.92634,0.000636762,0.000636762,0.000636762
86,1410.5,0.58183,0.85256,0.38973,0.89191,0.97397,0.94359,0.98622,0.79629,0.92624,0.93873,0.9657,0.70762,0.65583,0.979,0.38721,0.93837,0.000627331,0.000627331,0.000627331
87,1427.06,0.58693,0.85551,0.3917,0.89349,0.9616,0.94687,0.98603,0.79356,0.95319,0.93734,0.97313,0.6932,0.66978,0.99054,0.40816,0.9445,0.0006179,0.0006179,0.0006179
88,1443.48,0.57415,0.84139,0.37888,0.89047,0.98208,0.93528,0.9808,0.79388,0.97195,0.92534,0.97008,0.69778,0.64563,0.99216,0.38048,0.92862,0.000608468,0.000608468,0.000608468
89,1459.92,0.58441,0.85619,0.38941,0.89632,0.95808,0.95796,0.98579,0.79429,0.94314,0.9445,0.97416,0.70984,0.65794,0.97277,0.38757,0.9414,0.000599037,0.000599037,0.000599037
90,1476.23,0.57521,0.85159,0.37911,0.89134,0.9832,0.93405,0.98946,0.79902,0.97391,0.91798,0.97722,0.70006,0.65549,1.00041,0.38315,0.93571,0.000589605,0.000589605,0.000589605
91,1492.42,0.56996,0.81667,0.37998,0.88918,0.97628,0.93005,0.98738,0.78189,0.93223,0.96957,0.97757,0.70791,0.67063,0.97838,0.39115,0.93903,0.000580174,0.000580174,0.000580174
